CODMUNRES_str,TOTAL_REGISTROS,STATUS_VALIDACAO,NOME_MUNICIPIO_IBGE
355260,118,Correspondência Exata,Tabapuã
292320,118,Correspondência Exata,Oliveira Dos Brejinhos
291520,118,Correspondência Exata,Itagibá
421060,118,Correspondência Exata,Massaranduba
353850,118,Correspondência Exata,Piquete
351690,117,Correspondência Exata,General Salgado
352190,117,Correspondência Exata,Itajobi
291380,116,Correspondência Exata,Ipecaetá
351450,116,Correspondência Exata,Duartina
290530,116,Correspondência Exata,Cafarnaum
290690,115,Correspondência Exata,Caravelas
352460,115,Correspondência Exata,Jacupiranga
291992,115,Correspondência Exata,Madre De Deus
352090,115,Correspondência Exata,Ipaussu
421120,115,Correspondência Exata,Morro Da Fumaça
421370,114,Correspondência Exata,Pouso Redondo
421175,114,Correspondência Exata,Otacílio Costa
293210,114,Correspondência Exata,Ubaíra
292670,113,Correspondência Exata,Rio De Contas
420720,113,Correspondência Exata,Imaruí
355720,113,Correspondência Exata,Chavantes
354090,112,Correspondência Exata,Pradópolis
291220,112,Correspondência Exata,Ibicoara
420455,112,Correspondência Exata,Correia Pinto
290960,112,Correspondência Exata,Crisópolis
355560,112,Correspondência Exata,Uchoa
293240,112,Correspondência Exata,Uibaí
421510,112,Correspondência Exata,Rodeio
354490,112,Correspondência Exata,Sales Oliveira
290370,112,Correspondência Exata,Boa Nova
291300,112,Correspondência Exata,Ibitiara
290135,111,Correspondência Exata,Andorinha
292560,111,Correspondência Exata,Presidente Dutra
292525,111,Correspondência Exata,Ponto Novo
353260,111,Correspondência Exata,Nhandeara
355395,110,Correspondência Exata,Tarumã
420245,110,Correspondência Exata,Bombinhas
355190,110,Correspondência Exata,Severínia
350990,110,Correspondência Exata,Cananéia
421550,110,Correspondência Exata,Santa Cecília
420425,109,Correspondência Exata,Cocal Do Sul
293030,109,Correspondência Exata,Serra Dourada
420010,109,Correspondência Exata,Abelardo Luz
293080,109,Correspondência Exata,Souto Soares
291240,109,Correspondência Exata,Ibipeba
351720,109,Correspondência Exata,Guaiçara
293150,109,Correspondência Exata,Teofilândia
291685,109,Correspondência Exata,Itatim
353910,108,Correspondência Exata,Pirapora Do Bom Jesus
290323,108,Correspondência Exata,Barro Alto
350630,108,Correspondência Exata,Bernardino De Campos
354380,108,Correspondência Exata,Rinópolis
421740,107,Correspondência Exata,Schroeder
350440,106,Correspondência Exata,Avanhandava
355360,106,Correspondência Exata,Tapiratiba
290810,106,Correspondência Exata,Cocos
350115,106,Correspondência Exata,Alumínio
292130,106,Correspondência Exata,Milagres
353900,106,Correspondência Exata,Pirangi
354600,105,Correspondência Exata,Santa Branca
