Dimensao,UF,Categoria,Frequencia_Absoluta,Proporcao_Percentual
Causa_Morte,SANTA CATARINA,Outras malformações congênitas do aparelho digestivo,16,0.03
Causa_Morte,SANTA CATARINA,Outros transtornos da regulação da glicose e da secreção pancreática interna,12,0.03
Causa_Morte,SANTA CATARINA,Outros transtornos do rim e do ureter,14,0.03
Causa_Morte,SANTA CATARINA,Outros transtornos do sistema nervoso,101,0.22
Causa_Morte,SANTA CATARINA,Outros transtornos maternos relacionados predominantemente com a gravidez,1,0.0
Causa_Morte,SANTA CATARINA,Outros transtornos originados no período perinatal,207,0.44
Causa_Morte,SANTA CATARINA,"Outros transtornos, e os não especificados do aparelho circulatório",2,0.0
Causa_Morte,SANTA CATARINA,Paralisia cerebral e outras síndromes paralíticas,63,0.13
Causa_Morte,SANTA CATARINA,"Pediculose, acaríase e outras infestações",2,0.0
Causa_Morte,SANTA CATARINA,Polineuropatias e outros transtornos do sistema nervoso periférico,17,0.04
Causa_Morte,SANTA CATARINA,Retardo mental,13,0.03
Causa_Morte,SANTA CATARINA,Seqüelas de causas externas de morbidade e de mortalidade,23,0.05
Causa_Morte,SANTA CATARINA,Seqüelas de doenças infecciosas e parasitárias,18,0.04
Causa_Morte,SANTA CATARINA,Sintomas e sinais gerais,145,0.31
Causa_Morte,SANTA CATARINA,Sintomas e sinais relativos ao aparelho circulatório e respiratório,163,0.35
Causa_Morte,SANTA CATARINA,Sintomas e sinais relativos ao aparelho digestivo e ao abdome,18,0.04
Causa_Morte,SANTA CATARINA,Sintomas e sinais relativos ao aparelho urinário,2,0.0
Causa_Morte,SANTA CATARINA,"Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento",1,0.0
Causa_Morte,SANTA CATARINA,Sintomas e sinais relativos à pele e ao tecido subcutâneo,2,0.0
Causa_Morte,SANTA CATARINA,Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos,1,0.0
Causa_Morte,SANTA CATARINA,Transtornos da glândula tireóide,52,0.11
Causa_Morte,SANTA CATARINA,"Transtornos da vesícula biliar, das vias biliares e do pâncreas",342,0.73
Causa_Morte,SANTA CATARINA,Transtornos de outras glândulas endócrinas,7,0.01
Causa_Morte,SANTA CATARINA,Transtornos do aparelho digestivo do feto ou do recém-nascido,27,0.06
Causa_Morte,SANTA CATARINA,Transtornos do desenvolvimento psicológico,5,0.01
Causa_Morte,SANTA CATARINA,Transtornos do humor [afetivos],30,0.06
Causa_Morte,SANTA CATARINA,Transtornos dos tecidos moles,23,0.05
Causa_Morte,SANTA CATARINA,Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,18,0.04
Causa_Morte,SANTA CATARINA,Transtornos episódicos e paroxísticos,128,0.27
Causa_Morte,SANTA CATARINA,Transtornos hemorrágicos e hematológicos do feto e do recém-nascido,21,0.04
Causa_Morte,SANTA CATARINA,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,304,0.65
Causa_Morte,SANTA CATARINA,"Transtornos mentais orgânicos, inclusive os sintomáticos",93,0.2
Causa_Morte,SANTA CATARINA,"Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes",5,0.01
Causa_Morte,SANTA CATARINA,Transtornos não-inflamatórios do trato genital feminino,4,0.01
Causa_Morte,SANTA CATARINA,Transtornos relacionados com a duração da gestação e com o crescimento fetal,76,0.16
Causa_Morte,SANTA CATARINA,Transtornos respiratórios e cardiovasculares específicos do período perinatal,243,0.52
Causa_Morte,SANTA CATARINA,Traumatismo de parto,1,0.0
Causa_Morte,SANTA CATARINA,Tuberculose,118,0.25
Causa_Morte,SÃO PAULO,"Achados anormais de exames de sangue, sem diagnóstico",2,0.0
Causa_Morte,SÃO PAULO,"Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico",1,0.0
Causa_Morte,SÃO PAULO,"Achados anormais de exames para diagnóstico por imagem e em estudos de função, sem diagnóstico",8,0.0
Causa_Morte,SÃO PAULO,Acidentes,11992,3.69
Causa_Morte,SÃO PAULO,Afecções bolhosas,48,0.01
Causa_Morte,SÃO PAULO,Afecções comprometendo o tegumento e a regulação térmica do feto e do recém-nascido,55,0.02
Causa_Morte,SÃO PAULO,Afecções necróticas e supurativas das vias aéreas inferiores,327,0.1
Causa_Morte,SÃO PAULO,Afecções pápulo-descamativas,10,0.0
Causa_Morte,SÃO PAULO,Agressões,2690,0.83
Causa_Morte,SÃO PAULO,Algumas doenças bacterianas zoonóticas,78,0.02
Causa_Morte,SÃO PAULO,Alguns transtornos que comprometem o mecanismo imunitário,86,0.03
Causa_Morte,SÃO PAULO,Anemias aplásticas e outras anemias,536,0.16
Causa_Morte,SÃO PAULO,Anemias hemolíticas,183,0.06
Causa_Morte,SÃO PAULO,Anemias nutricionais,119,0.04
Causa_Morte,SÃO PAULO,Anomalias cromossômicas não classificadas em outra parte,379,0.12
Causa_Morte,SÃO PAULO,Artropatias,307,0.09
Causa_Morte,SÃO PAULO,Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto,17,0.01
Causa_Morte,SÃO PAULO,Atrofias sistêmicas que afetam principalmente o sistema nervoso central,568,0.17
Causa_Morte,SÃO PAULO,Calculose renal,157,0.05
Causa_Morte,SÃO PAULO,Causas mal definidas e desconhecidas de mortalidade,11665,3.59
Causa_Morte,SÃO PAULO,Complicações de assistência médica e cirúrgica,775,0.24
Causa_Morte,SÃO PAULO,Complicações do trabalho de parto e do parto,31,0.01
Causa_Morte,SÃO PAULO,Complicações relacionadas predominantemente com o puerpério,22,0.01
Causa_Morte,SÃO PAULO,"Defeitos da coagulação, púrpura e outras afecções hemorrágicas",351,0.11
Causa_Morte,SÃO PAULO,Dermatite e eczema,12,0.0
Causa_Morte,SÃO PAULO,Desnutrição,643,0.2
Causa_Morte,SÃO PAULO,Diabetes mellitus,12185,3.75
Causa_Morte,SÃO PAULO,Distúrbios metabólicos,1795,0.55
Causa_Morte,SÃO PAULO,Doença pelo vírus da imunodeficiência humana [HIV],1668,0.51
Causa_Morte,SÃO PAULO,Doenças cardíaca pulmonar e da circulação pulmonar,4128,1.27
Causa_Morte,SÃO PAULO,Doenças cerebrovasculares,21213,6.52
Causa_Morte,SÃO PAULO,Doenças crônicas das vias aéreas inferiores,10910,3.35
Causa_Morte,SÃO PAULO,"Doenças da cavidade oral, das glândulas salivares e dos maxilares",25,0.01
Causa_Morte,SÃO PAULO,Doenças da junção mioneural e dos músculos,167,0.05
