UF_Ocorrencia,Grupo_Causa,Quantidade
SANTA CATARINA,Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto,4
SANTA CATARINA,"Doenças da cavidade oral, das glândulas salivares e dos maxilares",3
SANTA CATARINA,Helmintíases,3
SANTA CATARINA,Complicações do trabalho de parto e do parto,3
SANTA CATARINA,Febre reumática aguda,3
SANTA CATARINA,Dermatite e eczema,2
SANTA CATARINA,"Pediculose, acaríase e outras infestações",2
SANTA CATARINA,Sintomas e sinais relativos à pele e ao tecido subcutâneo,2
SANTA CATARINA,Doenças da mama,2
SANTA CATARINA,"Outros transtornos, e os não especificados do aparelho circulatório",2
SANTA CATARINA,Sintomas e sinais relativos ao aparelho urinário,2
SANTA CATARINA,"Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento",1
SANTA CATARINA,Traumatismo de parto,1
SANTA CATARINA,"Achados anormais de exames para diagnóstico por imagem e em estudos de função, sem diagnóstico",1
SANTA CATARINA,Complicações relacionadas predominantemente com o puerpério,1
SANTA CATARINA,Gravidez que termina em aborto,1
SANTA CATARINA,Malformações congênitas dos órgãos genitais,1
SANTA CATARINA,Outras doenças infecciosas,1
SANTA CATARINA,Outros transtornos maternos relacionados predominantemente com a gravidez,1
SANTA CATARINA,Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos,1
SÃO PAULO,Neoplasias [tumores] malignas(os),58265
SÃO PAULO,Doenças isquêmicas do coração,31410
SÃO PAULO,Influenza [gripe] e pneumonia,22975
SÃO PAULO,Doenças cerebrovasculares,21213
SÃO PAULO,Outras formas de doença do coração,18264
SÃO PAULO,Diabetes mellitus,12185
SÃO PAULO,Acidentes,11992
SÃO PAULO,Causas mal definidas e desconhecidas de mortalidade,11665
SÃO PAULO,Doenças crônicas das vias aéreas inferiores,10910
SÃO PAULO,Doenças hipertensivas,9600
SÃO PAULO,Outras doenças do aparelho urinário,9025
SÃO PAULO,Outras doenças degenerativas do sistema nervoso,7838
SÃO PAULO,Doenças do fígado,6434
SÃO PAULO,Outras doenças bacterianas,6125
SÃO PAULO,"Doenças das artérias, das arteríolas e dos capilares",4861
SÃO PAULO,Eventos (fatos) cuja intenção é indeterminada,4670
